Title	accuracy
all_bucket1	0.6868250539956804
all_bucket2	0.6173010380622838
all_bucket3	0.550799623706491
all_bucket4	0.4868008948545861
all_bucket5	0.6374570446735395
occupation_bucket1	0.45454545454545453
occupation_bucket2	0.5100401606425703
occupation_bucket3	0.5555555555555556
occupation_bucket4	0.5757575757575758
occupation_bucket5	0.3333333333333333
mother_bucket1	0.0
mother_bucket2	0.41025641025641024
mother_bucket3	0.29213483146067415
mother_bucket4	0.2727272727272727
mother_bucket5	0.3137254901960784
religion_bucket1	0.0
religion_bucket2	0.12037037037037036
religion_bucket3	0.2077922077922078
religion_bucket4	0.34285714285714286
religion_bucket5	0.32142857142857145
place of birth_bucket1	0.4823529411764706
place of birth_bucket2	0.4012345679012346
place of birth_bucket3	0.453125
place of birth_bucket4	0.4666666666666667
place of birth_bucket5	0.0
genre_bucket1	0.4368932038834951
genre_bucket2	0.4645550527903469
genre_bucket3	0.4035532994923858
genre_bucket4	0.38235294117647056
genre_bucket5	0.5714285714285714
father_bucket1	0.2692307692307692
father_bucket2	0.4009433962264151
father_bucket3	0.4025974025974026
father_bucket4	0.41935483870967744
father_bucket5	0.2631578947368421
screenwriter_bucket1	0.5714285714285714
screenwriter_bucket2	0.45125628140703516
screenwriter_bucket3	0.48703170028818443
screenwriter_bucket4	0.4235294117647059
screenwriter_bucket5	0.24444444444444444
director_bucket1	0.7741935483870968
director_bucket2	0.7563775510204082
director_bucket3	0.7127272727272728
director_bucket4	0.6587677725118484
director_bucket5	0.7777777777777778
producer_bucket1	0.5925925925925926
producer_bucket2	0.6103542234332425
producer_bucket3	0.5549872122762148
producer_bucket4	0.545
producer_bucket5	0.6190476190476191
author_bucket1	0.7635467980295566
author_bucket2	0.8627671541057368
author_bucket3	0.8672086720867209
author_bucket4	0.7111111111111111
author_bucket5	0.5
composer_bucket1	0.6037735849056604
composer_bucket2	0.5401069518716578
composer_bucket3	0.40974729241877256
composer_bucket4	0.2696245733788396
composer_bucket5	0.5135135135135135
country_bucket1	0.9562043795620438
country_bucket2	0.9214092140921409
country_bucket3	0.9202898550724637
country_bucket4	0.8717948717948718
country_bucket5	1.0
capital_bucket1	0.7241379310344828
capital_bucket2	0.6727272727272727
capital_bucket3	0.7375886524822695
capital_bucket4	0.7272727272727273
capital_bucket5	0.9041095890410958
capital of_bucket1	0.2
capital of_bucket2	0.2631578947368421
capital of_bucket3	0.29411764705882354
capital of_bucket4	0.6574074074074074
capital of_bucket5	0.6976744186046512
color_bucket1	nan
color_bucket2	1.0
color_bucket3	0.5714285714285714
color_bucket4	0.8666666666666667
color_bucket5	0.2857142857142857
sport_bucket1	0.9326424870466321
sport_bucket2	0.9205020920502092
sport_bucket3	0.8493150684931506
sport_bucket4	0.8461538461538461
sport_bucket5	1.0
